"order_id","contact_name","product_name","quantity","order_date"
10291,"Bernardo Batista","Manjimup Dried Apples",2,"1996-08-27"
10292,"Anabela Domingues","Sir Rodney's Marmalade",20,"1996-08-28"
10293,"Miguel Angel Paolino","Carnarvon Tigers",12,"1996-08-29"
10293,"Miguel Angel Paolino","Guaraná Fantástica",10,"1996-08-29"
10293,"Miguel Angel Paolino","Vegie-spread",5,"1996-08-29"
10293,"Miguel Angel Paolino","Rhönbräu Klosterbier",6,"1996-08-29"
10294,"Paula Wilson","Chai",18,"1996-08-30"
10294,"Paula Wilson","Alice Mutton",15,"1996-08-30"
10294,"Paula Wilson","Ipoh Coffee",15,"1996-08-30"
10294,"Paula Wilson","Camembert Pierrot",21,"1996-08-30"
10294,"Paula Wilson","Rhönbräu Klosterbier",6,"1996-08-30"
10295,"Paul Henriot","Gnocchi di nonna Alice",4,"1996-09-02"
10296,"Carlos González","Queso Cabrales",12,"1996-09-03"
10296,"Carlos González","Pavlova",30,"1996-09-03"
10296,"Carlos González","Gudbrandsdalsost",15,"1996-09-03"
10297,"Frédérique Citeaux","Chartreuse verte",60,"1996-09-04"
10297,"Frédérique Citeaux","Mozzarella di Giovanni",20,"1996-09-04"
10298,"Patricia McKenna","Chang",40,"1996-09-05"
10298,"Patricia McKenna","Inlagd Sill",40,"1996-09-05"
10298,"Patricia McKenna","Raclette Courdavault",30,"1996-09-05"
10298,"Patricia McKenna","Tarte au sucre",15,"1996-09-05"
10299,"Janete Limeira","Teatime Chocolate Biscuits",15,"1996-09-06"
10299,"Janete Limeira","Outback Lager",20,"1996-09-06"
10300,"Giovanni Rovelli","Louisiana Hot Spiced Okra",30,"1996-09-09"
10300,"Giovanni Rovelli","Scottish Longbreads",20,"1996-09-09"
10301,"Rita Müller","Boston Crab Meat",10,"1996-09-09"
10301,"Rita Müller","Gnocchi di nonna Alice",20,"1996-09-09"
10302,"Pascale Cartrain","Alice Mutton",40,"1996-09-10"
10302,"Pascale Cartrain","Rössle Sauerkraut",28,"1996-09-10"
10302,"Pascale Cartrain","Ipoh Coffee",12,"1996-09-10"
10303,"José Pedro Freyre","Boston Crab Meat",40,"1996-09-11"
10303,"José Pedro Freyre","Louisiana Fiery Hot Pepper Sauce",30,"1996-09-11"
10303,"José Pedro Freyre","Scottish Longbreads",15,"1996-09-11"
10304,"Miguel Angel Paolino","Maxilaku",30,"1996-09-12"
10304,"Miguel Angel Paolino","Raclette Courdavault",10,"1996-09-12"
10304,"Miguel Angel Paolino","Flotemysost",2,"1996-09-12"
10305,"Rene Phillips","Carnarvon Tigers",25,"1996-09-13"
10305,"Rene Phillips","Thüringer Rostbratwurst",25,"1996-09-13"
10305,"Rene Phillips","Chartreuse verte",30,"1996-09-13"
10306,"Alejandra Camino","Nord-Ost Matjeshering",10,"1996-09-16"
10306,"Alejandra Camino","Perth Pasties",10,"1996-09-16"
10306,"Alejandra Camino","Tourtière",5,"1996-09-16"
10307,"Fran Wilson","Tarte au sucre",10,"1996-09-17"
10307,"Fran Wilson","Scottish Longbreads",3,"1996-09-17"
10308,"Ana Trujillo","Gudbrandsdalsost",1,"1996-09-18"
10308,"Ana Trujillo","Outback Lager",5,"1996-09-18"
10309,"Patricia McKenna","Chef Anton's Cajun Seasoning",20,"1996-09-19"
10309,"Patricia McKenna","Grandma's Boysenberry Spread",30,"1996-09-19"
10309,"Patricia McKenna","Singaporean Hokkien Fried Mee",2,"1996-09-19"
10309,"Patricia McKenna","Ipoh Coffee",20,"1996-09-19"
10309,"Patricia McKenna","Flotemysost",3,"1996-09-19"
10310,"Liz Nixon","Pavlova",10,"1996-09-20"
10310,"Liz Nixon","Tarte au sucre",5,"1996-09-20"
10311,"Janine Labrune","Singaporean Hokkien Fried Mee",6,"1996-09-20"
10311,"Janine Labrune","Gudbrandsdalsost",7,"1996-09-20"
10312,"Rita Müller","Rössle Sauerkraut",4,"1996-09-23"
10312,"Rita Müller","Ipoh Coffee",24,"1996-09-23"
10312,"Rita Müller","Perth Pasties",20,"1996-09-23"
10312,"Rita Müller","Rhönbräu Klosterbier",10,"1996-09-23"
10313,"Horst Kloss","Inlagd Sill",12,"1996-09-24"
10314,"Paula Wilson","Mascarpone Fabioli",40,"1996-09-25"
10314,"Paula Wilson","Escargots de Bourgogne",30,"1996-09-25"
10314,"Paula Wilson","Tarte au sucre",25,"1996-09-25"
10315,"Helen Bennett","Sasquatch Ale",14,"1996-09-26"
10315,"Helen Bennett","Outback Lager",30,"1996-09-26"
10316,"Paula Wilson","Jack's New England Clam Chowder",10,"1996-09-27"
10316,"Paula Wilson","Tarte au sucre",70,"1996-09-27"
10317,"Fran Wilson","Chai",20,"1996-09-30"
10318,"Helen Bennett","Jack's New England Clam Chowder",20,"1996-10-01"
10318,"Helen Bennett","Lakkalikööri",6,"1996-10-01"
10319,"Miguel Angel Paolino","Alice Mutton",8,"1996-10-02"
10319,"Miguel Angel Paolino","Rössle Sauerkraut",14,"1996-10-02"
10319,"Miguel Angel Paolino","Lakkalikööri",30,"1996-10-02"
10320,"Pirkko Koskitalo","Flotemysost",30,"1996-10-03"
10321,"Helen Bennett","Steeleye Stout",10,"1996-10-03"
10322,"Guillermo Fernández","Filo Mix",20,"1996-10-04"
10323,"Philip Cramer","Genen Shouyu",5,"1996-10-07"
10323,"Philip Cramer","NuNuCa Nuß-Nougat-Creme",4,"1996-10-07"
10323,"Philip Cramer","Chartreuse verte",4,"1996-10-07"
10324,"Jose Pavarotti","Pavlova",21,"1996-10-08"
10324,"Jose Pavarotti","Steeleye Stout",70,"1996-10-08"
10324,"Jose Pavarotti","Spegesild",30,"1996-10-08"
10324,"Jose Pavarotti","Raclette Courdavault",40,"1996-10-08"
10324,"Jose Pavarotti","Vegie-spread",80,"1996-10-08"
10325,"Philip Cramer","Grandma's Boysenberry Spread",6,"1996-10-09"
10325,"Philip Cramer","Konbu",12,"1996-10-09"
10325,"Philip Cramer","Tofu",9,"1996-10-09"
10325,"Philip Cramer","Gorgonzola Telino",4,"1996-10-09"
10325,"Philip Cramer","Mozzarella di Giovanni",40,"1996-10-09"
10326,"Martín Sommer","Chef Anton's Cajun Seasoning",24,"1996-10-10"
10326,"Martín Sommer","Ravioli Angelo",16,"1996-10-10"
10326,"Martín Sommer","Rhönbräu Klosterbier",50,"1996-10-10"
10327,"Maria Larsson","Chang",25,"1996-10-11"
10327,"Maria Larsson","Queso Cabrales",50,"1996-10-11"
10327,"Maria Larsson","Nord-Ost Matjeshering",35,"1996-10-11"
10327,"Maria Larsson","Escargots de Bourgogne",30,"1996-10-11"
10328,"Lino Rodriguez","Raclette Courdavault",9,"1996-10-14"
10328,"Lino Rodriguez","Louisiana Fiery Hot Pepper Sauce",40,"1996-10-14"
10328,"Lino Rodriguez","Scottish Longbreads",10,"1996-10-14"
10329,"Art Braunschweiger","Teatime Chocolate Biscuits",10,"1996-10-15"
10329,"Art Braunschweiger","Nord-Ost Matjeshering",8,"1996-10-15"
10329,"Art Braunschweiger","Côte de Blaye",20,"1996-10-15"
10329,"Art Braunschweiger","Gnocchi di nonna Alice",12,"1996-10-15"
10330,"Carlos González","Gumbär Gummibärchen",50,"1996-10-16"
10330,"Carlos González","Mozzarella di Giovanni",25,"1996-10-16"
10331,"Laurence Lebihan","Tourtière",15,"1996-10-16"
10332,"Jean Fresnière","Carnarvon Tigers",40,"1996-10-17"
10332,"Jean Fresnière","Singaporean Hokkien Fried Mee",10,"1996-10-17"
10332,"Jean Fresnière","Zaanse koeken",16,"1996-10-17"
10333,"Pirkko Koskitalo","Tofu",10,"1996-10-18"
10333,"Pirkko Koskitalo","Sir Rodney's Scones",10,"1996-10-18"
10333,"Pirkko Koskitalo","Flotemysost",40,"1996-10-18"
10334,"Mary Saveley","Filo Mix",8,"1996-10-21"
10334,"Mary Saveley","Scottish Longbreads",10,"1996-10-21"
10335,"Patricia McKenna","Chang",7,"1996-10-22"
10335,"Patricia McKenna","Gorgonzola Telino",25,"1996-10-22"
10335,"Patricia McKenna","Mascarpone Fabioli",6,"1996-10-22"
10335,"Patricia McKenna","Manjimup Dried Apples",48,"1996-10-22"
10336,"Isabel de Castro","Chef Anton's Cajun Seasoning",18,"1996-10-23"
10337,"Peter Franken","Tunnbröd",40,"1996-10-24"
10337,"Peter Franken","Gumbär Gummibärchen",24,"1996-10-24"
10337,"Peter Franken","Inlagd Sill",20,"1996-10-24"
10337,"Peter Franken","Gravad lax",28,"1996-10-24"
10337,"Peter Franken","Mozzarella di Giovanni",25,"1996-10-24"
10338,"Rene Phillips","Alice Mutton",20,"1996-10-25"
10338,"Rene Phillips","Nord-Ost Matjeshering",15,"1996-10-25"
10339,"Jean Fresnière","Chef Anton's Cajun Seasoning",10,"1996-10-28"
10339,"Jean Fresnière","Alice Mutton",70,"1996-10-28"
10339,"Jean Fresnière","Tarte au sucre",28,"1996-10-28"
10340,"Laurence Lebihan","Carnarvon Tigers",20,"1996-10-29"
10340,"Laurence Lebihan","Jack's New England Clam Chowder",12,"1996-10-29"
10340,"Laurence Lebihan","Ipoh Coffee",40,"1996-10-29"
10341,"Jytte Petersen","Geitost",8,"1996-10-29"
10341,"Jytte Petersen","Raclette Courdavault",9,"1996-10-29"
10342,"Peter Franken","Chang",24,"1996-10-30"
10342,"Peter Franken","Gorgonzola Telino",56,"1996-10-30"
10342,"Peter Franken","Inlagd Sill",40,"1996-10-30"
10342,"Peter Franken","Pâté chinois",40,"1996-10-30"
10343,"Renate Messner","Wimmers gute Semmelknödel",50,"1996-10-31"
10343,"Renate Messner","Scottish Longbreads",4,"1996-10-31"
10343,"Renate Messner","Lakkalikööri",15,"1996-10-31"
10344,"Karl Jablonski","Chef Anton's Cajun Seasoning",35,"1996-11-01"
10344,"Karl Jablonski","Northwoods Cranberry Sauce",70,"1996-11-01"
10345,"Horst Kloss","Northwoods Cranberry Sauce",70,"1996-11-04"
10345,"Horst Kloss","Teatime Chocolate Biscuits",80,"1996-11-04"
10345,"Horst Kloss","Singaporean Hokkien Fried Mee",9,"1996-11-04"
10346,"Paula Wilson","Alice Mutton",36,"1996-11-05"
10346,"Paula Wilson","Gnocchi di nonna Alice",20,"1996-11-05"
10347,"Aria Cruz","NuNuCa Nuß-Nougat-Creme",10,"1996-11-06"
10347,"Aria Cruz","Chartreuse verte",50,"1996-11-06"
10347,"Aria Cruz","Boston Crab Meat",4,"1996-11-06"
10347,"Aria Cruz","Rhönbräu Klosterbier",6,"1996-11-06"
10348,"Rita Müller","Chai",15,"1996-11-07"
10348,"Rita Müller","Tunnbröd",25,"1996-11-07"
10349,"Art Braunschweiger","Tourtière",24,"1996-11-08"
10350,"Annette Roulet","Valkoinen suklaa",15,"1996-11-11"
10350,"Annette Roulet","Gudbrandsdalsost",18,"1996-11-11"
10351,"Roland Mendel","Côte de Blaye",20,"1996-11-11"
10351,"Roland Mendel","Jack's New England Clam Chowder",13,"1996-11-11"
10351,"Roland Mendel","Gula Malacca",77,"1996-11-11"
10351,"Roland Mendel","Louisiana Fiery Hot Pepper Sauce",10,"1996-11-11"
10352,"Lino Rodriguez","Guaraná Fantástica",10,"1996-11-12"
10352,"Lino Rodriguez","Tourtière",20,"1996-11-12"
10353,"Georg Pipps","Queso Cabrales",12,"1996-11-13"
10353,"Georg Pipps","Côte de Blaye",50,"1996-11-13"
10354,"Guillermo Fernández","Chai",12,"1996-11-14"
10354,"Guillermo Fernández","Thüringer Rostbratwurst",4,"1996-11-14"
10355,"Thomas Hardy","Guaraná Fantástica",25,"1996-11-15"
10355,"Thomas Hardy","Ravioli Angelo",25,"1996-11-15"
10356,"Rita Müller","Gorgonzola Telino",30,"1996-11-18"
10356,"Rita Müller","Pâté chinois",12,"1996-11-18"
10356,"Rita Müller","Gudbrandsdalsost",20,"1996-11-18"
10357,"Carlos González","Ikura",30,"1996-11-19"
10357,"Carlos González","Gumbär Gummibärchen",16,"1996-11-19"
10357,"Carlos González","Camembert Pierrot",8,"1996-11-19"
10358,"Annette Roulet","Guaraná Fantástica",10,"1996-11-20"
10358,"Annette Roulet","Sasquatch Ale",10,"1996-11-20"
10358,"Annette Roulet","Inlagd Sill",20,"1996-11-20"
10359,"Hari Kumar","Pavlova",56,"1996-11-21"
10359,"Hari Kumar","Gorgonzola Telino",70,"1996-11-21"
10359,"Hari Kumar","Camembert Pierrot",80,"1996-11-21"
10360,"Frédérique Citeaux","Rössle Sauerkraut",30,"1996-11-22"
10360,"Frédérique Citeaux","Thüringer Rostbratwurst",35,"1996-11-22"
10360,"Frédérique Citeaux","Côte de Blaye",10,"1996-11-22"
10360,"Frédérique Citeaux","Maxilaku",35,"1996-11-22"
10360,"Frédérique Citeaux","Tourtière",28,"1996-11-22"
10361,"Horst Kloss","Chartreuse verte",54,"1996-11-22"
10361,"Horst Kloss","Camembert Pierrot",55,"1996-11-22"
10362,"Laurence Lebihan","NuNuCa Nuß-Nougat-Creme",50,"1996-11-25"
10362,"Laurence Lebihan","Manjimup Dried Apples",20,"1996-11-25"
10362,"Laurence Lebihan","Tourtière",24,"1996-11-25"
10363,"Sven Ottlieb","Gorgonzola Telino",20,"1996-11-26"
10363,"Sven Ottlieb","Rhönbräu Klosterbier",12,"1996-11-26"
10363,"Sven Ottlieb","Lakkalikööri",12,"1996-11-26"
10364,"Ann Devon","Gudbrandsdalsost",30,"1996-11-26"
10364,"Ann Devon","Flotemysost",5,"1996-11-26"
10365,"Antonio Moreno","Queso Cabrales",24,"1996-11-27"
10366,"Eduardo Saavedra","Louisiana Fiery Hot Pepper Sauce",5,"1996-11-28"
10366,"Eduardo Saavedra","Original Frankfurter grüne Soße",5,"1996-11-28"
10367,"Palle Ibsen","Sasquatch Ale",36,"1996-11-28"
10367,"Palle Ibsen","Tourtière",18,"1996-11-28"
10367,"Palle Ibsen","Louisiana Fiery Hot Pepper Sauce",15,"1996-11-28"
10367,"Palle Ibsen","Original Frankfurter grüne Soße",7,"1996-11-28"
10368,"Roland Mendel","Sir Rodney's Scones",5,"1996-11-29"
10368,"Roland Mendel","Rössle Sauerkraut",13,"1996-11-29"
10368,"Roland Mendel","Ravioli Angelo",25,"1996-11-29"
10368,"Roland Mendel","Wimmers gute Semmelknödel",35,"1996-11-29"
10369,"Art Braunschweiger","Thüringer Rostbratwurst",20,"1996-12-02"
10369,"Art Braunschweiger","Gnocchi di nonna Alice",18,"1996-12-02"
10370,"Yang Wang","Chai",15,"1996-12-03"
10370,"Yang Wang","Wimmers gute Semmelknödel",30,"1996-12-03"
10370,"Yang Wang","Longlife Tofu",20,"1996-12-03"
10371,"Annette Roulet","Inlagd Sill",6,"1996-12-03"
10372,"Lúcia Carvalho","Sir Rodney's Marmalade",12,"1996-12-04"
10372,"Lúcia Carvalho","Côte de Blaye",40,"1996-12-04"
10372,"Lúcia Carvalho","Camembert Pierrot",70,"1996-12-04"
10372,"Lúcia Carvalho","Mozzarella di Giovanni",42,"1996-12-04"
10373,"Patricia McKenna","Escargots de Bourgogne",80,"1996-12-05"
10373,"Patricia McKenna","Flotemysost",50,"1996-12-05"
10374,"Zbyszek Piestrzeniewicz","Gorgonzola Telino",30,"1996-12-05"
10374,"Zbyszek Piestrzeniewicz","Escargots de Bourgogne",15,"1996-12-05"
10375,"Yoshi Latimer","Tofu",15,"1996-12-06"
10375,"Yoshi Latimer","Tourtière",10,"1996-12-06"
10376,"Jean Fresnière","Gorgonzola Telino",42,"1996-12-09"
10377,"Hari Kumar","Rössle Sauerkraut",20,"1996-12-09"
10377,"Hari Kumar","Chartreuse verte",20,"1996-12-09"
10378,"Maria Larsson","Flotemysost",6,"1996-12-10"
10379,"Bernardo Batista","Jack's New England Clam Chowder",8,"1996-12-11"
10379,"Bernardo Batista","Vegie-spread",16,"1996-12-11"
10379,"Bernardo Batista","Louisiana Fiery Hot Pepper Sauce",20,"1996-12-11"
10380,"Patricia McKenna","Nord-Ost Matjeshering",18,"1996-12-12"
10380,"Patricia McKenna","Perth Pasties",20,"1996-12-12"
10380,"Patricia McKenna","Camembert Pierrot",6,"1996-12-12"
10380,"Patricia McKenna","Outback Lager",30,"1996-12-12"
10381,"Carlos González","Longlife Tofu",14,"1996-12-12"
10382,"Roland Mendel","Chef Anton's Gumbo Mix",32,"1996-12-13"
10382,"Roland Mendel","Carnarvon Tigers",9,"1996-12-13"
10382,"Roland Mendel","Thüringer Rostbratwurst",14,"1996-12-13"
10382,"Roland Mendel","Geitost",60,"1996-12-13"
10382,"Roland Mendel","Longlife Tofu",50,"1996-12-13"
10383,"Thomas Hardy","Konbu",20,"1996-12-16"
10383,"Thomas Hardy","Valkoinen suklaa",15,"1996-12-16"
10383,"Thomas Hardy","Gnocchi di nonna Alice",20,"1996-12-16"
10384,"Christina Berglund","Sir Rodney's Marmalade",28,"1996-12-16"
10384,"Christina Berglund","Camembert Pierrot",15,"1996-12-16"
10385,"Art Braunschweiger","Uncle Bob's Organic Dried Pears",10,"1996-12-17"
10385,"Art Braunschweiger","Camembert Pierrot",20,"1996-12-17"
10385,"Art Braunschweiger","Scottish Longbreads",8,"1996-12-17"
10386,"Aria Cruz","Guaraná Fantástica",15,"1996-12-18"
10386,"Aria Cruz","Sasquatch Ale",10,"1996-12-18"
10387,"Jonas Bergulfsen","Guaraná Fantástica",15,"1996-12-18"
10387,"Jonas Bergulfsen","Rössle Sauerkraut",6,"1996-12-18"
10387,"Jonas Bergulfsen","Raclette Courdavault",12,"1996-12-18"
10387,"Jonas Bergulfsen","Flotemysost",15,"1996-12-18"
10388,"Hari Kumar","Rogede sild",15,"1996-12-19"
10388,"Hari Kumar","Filo Mix",20,"1996-12-19"
10388,"Hari Kumar","Perth Pasties",40,"1996-12-19"
10389,"Elizabeth Lincoln","Ikura",16,"1996-12-20"
10389,"Elizabeth Lincoln","Pâté chinois",15,"1996-12-20"
10389,"Elizabeth Lincoln","Tarte au sucre",20,"1996-12-20"
10389,"Elizabeth Lincoln","Outback Lager",30,"1996-12-20"
10390,"Roland Mendel","Gorgonzola Telino",60,"1996-12-23"
10390,"Roland Mendel","Steeleye Stout",40,"1996-12-23"
10390,"Roland Mendel","Spegesild",45,"1996-12-23"
10390,"Roland Mendel","Mozzarella di Giovanni",24,"1996-12-23"
10391,"Sven Ottlieb","Konbu",18,"1996-12-23"
10392,"Georg Pipps","Gudbrandsdalsost",50,"1996-12-24"
10393,"Jose Pavarotti","Chang",25,"1996-12-25"
10393,"Jose Pavarotti","Tofu",42,"1996-12-25"
10393,"Jose Pavarotti","NuNuCa Nuß-Nougat-Creme",7,"1996-12-25"
10393,"Jose Pavarotti","Gumbär Gummibärchen",70,"1996-12-25"
10393,"Jose Pavarotti","Gorgonzola Telino",32,"1996-12-25"
10394,"Yoshi Latimer","Konbu",10,"1996-12-25"
10394,"Yoshi Latimer","Tarte au sucre",10,"1996-12-25"
10395,"Carlos Hernández","Spegesild",28,"1996-12-26"
10395,"Carlos Hernández","Perth Pasties",70,"1996-12-26"
10395,"Carlos Hernández","Gudbrandsdalsost",8,"1996-12-26"
10396,"Peter Franken","Tunnbröd",40,"1996-12-27"
10396,"Peter Franken","Flotemysost",60,"1996-12-27"
10396,"Peter Franken","Mozzarella di Giovanni",21,"1996-12-27"
10397,"Isabel de Castro","Sir Rodney's Scones",10,"1996-12-27"
10397,"Isabel de Castro","Manjimup Dried Apples",18,"1996-12-27"
10398,"Jose Pavarotti","Steeleye Stout",30,"1996-12-30"
10398,"Jose Pavarotti","Pâté chinois",120,"1996-12-30"
10399,"Palle Ibsen","Scottish Longbreads",60,"1996-12-31"
10399,"Palle Ibsen","Flotemysost",30,"1996-12-31"
10399,"Palle Ibsen","Lakkalikööri",35,"1996-12-31"
10399,"Palle Ibsen","Original Frankfurter grüne Soße",14,"1996-12-31"
10400,"Ann Devon","Thüringer Rostbratwurst",21,"1997-01-01"
10400,"Ann Devon","Steeleye Stout",35,"1997-01-01"
